City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,qaqortoq,60.7167,-46.0333,46.53,89,90,2.55,GL,1717971169
84,georgetown,5.4112,100.3354,78.73,89,20,5.75,MY,1717971170
85,west bay,19.3667,-81.4167,86.07,82,40,12.66,KY,1717971170
86,bethel,41.3712,-73.414,74.75,59,20,9.22,US,1717971170
87,puerto ayora,-0.7393,-90.3518,80.56,94,74,1.99,EC,1717971170
88,ulsteinvik,62.3432,5.8487,54.75,91,100,14.0,NO,1717971170
89,luderitz,-26.6481,15.1594,67.95,27,7,8.05,NA,1717971170
90,sinabang,2.4803,96.3801,78.71,82,99,4.0,ID,1717971171
91,ugoofaaru,5.6667,73.0,83.82,76,92,17.36,MV,1717971171
92,veraval,20.9,70.3667,84.78,77,56,13.85,IN,1717971171
93,bandar-e lengeh,26.5579,54.8807,89.6,55,2,4.52,IR,1717971171
94,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,63,75,14.0,RU,1717970903
95,saint-pierre,-21.3393,55.4781,69.48,73,8,5.75,RE,1717971172
96,pangody,65.85,74.4859,42.78,74,94,10.58,RU,1717971172
97,gadzhiyevo,69.2551,33.3362,40.53,91,35,7.92,RU,1717971172
98,thompson,55.7435,-97.8558,66.96,24,28,3.15,CA,1717970998
99,kirensk,57.7853,108.1119,50.97,66,94,4.0,RU,1717970752
100,breves,-1.6822,-50.4803,76.24,93,29,3.42,BR,1717971172
101,port elizabeth,-33.918,25.5701,56.21,78,0,3.96,ZA,1717971172
102,fortuna,40.5982,-124.1573,62.92,82,100,18.41,US,1717971173
103,weno,7.4515,151.8468,84.33,78,100,12.57,FM,1717971173
104,uturoa,-16.7333,-151.4333,79.03,82,97,11.77,PF,1717971173
105,crane,31.3974,-102.3501,101.17,10,88,5.3,US,1717970993
106,pisco,-13.7,-76.2167,64.45,88,100,4.61,PE,1717971173
107,sparta,43.9441,-90.8129,69.67,56,75,14.85,US,1717971153
108,st. john's,47.5649,-52.7093,54.79,91,75,18.41,CA,1717971005
109,pontianak,-0.0333,109.3333,78.78,100,100,3.44,ID,1717971174
110,kavieng,-2.5744,150.7967,83.66,78,100,7.56,PG,1717971174
111,takehara,34.3383,132.9167,66.24,100,100,3.44,JP,1717971174
112,isafjordur,66.0755,-23.124,40.55,83,81,3.67,IS,1717971175
113,manzhouli,49.6,117.4333,57.4,73,82,6.55,CN,1717971175
114,greenfield,42.9614,-88.0126,74.68,45,75,16.11,US,1717971175
115,aswan,24.0934,32.907,88.92,16,0,11.65,EG,1717971175
116,kerikeri,-35.2268,173.9474,65.91,91,70,4.0,NZ,1717971175
117,cabo san lucas,22.8909,-109.9124,78.62,69,0,11.5,MX,1717971175
118,tchintabaraden,15.8969,5.7985,92.64,33,63,18.7,NE,1717971175
119,tabas,33.5959,56.9244,85.66,11,0,2.37,IR,1717971176
120,ufa,54.775,56.0375,56.93,93,39,1.99,RU,1717971093
121,punta del este,-34.9667,-54.95,73.51,83,75,11.5,UY,1717971176
122,tsafe,11.9553,6.9223,88.32,44,20,8.12,NG,1717971176
123,ribeira grande,38.5167,-28.7,68.4,88,40,13.0,PT,1717971176
124,mount pearl,47.5166,-52.7813,53.94,91,75,18.41,CA,1717971176
125,west island,-12.1568,96.8225,80.58,83,40,5.75,CC,1717971177
126,ola,59.5833,151.2833,41.14,90,100,2.89,RU,1717971177
127,vadso,70.0744,29.7487,41.88,93,100,13.8,NO,1717971177
128,port alfred,-33.5906,26.891,60.69,62,0,8.72,ZA,1717971177
129,dilling,12.05,29.65,83.17,56,74,8.7,SD,1717971011
130,kodiak,57.79,-152.4072,45.91,93,100,23.02,US,1717971177
131,betio village,1.358,172.9211,83.52,75,59,13.13,KI,1717971178
132,punta arenas,-53.15,-70.9167,35.71,87,75,5.75,CL,1717971170
133,ilulissat,69.2167,-51.1,39.22,81,40,5.75,GL,1717971178
134,papatowai,-46.5619,169.4708,46.11,85,98,9.28,NZ,1717971178
135,torghay,49.6339,63.4981,68.27,75,3,11.32,KZ,1717971178
136,rio grande,-32.035,-52.0986,73.51,85,100,9.93,BR,1717971178
137,puerto aysen,-45.4,-72.7,44.71,99,100,2.82,CL,1717971086
138,tual,-5.6667,132.75,79.95,85,50,22.08,ID,1717971179
139,swan hill,-35.3378,143.5544,51.3,65,94,3.27,AU,1717971179
140,lazaro cardenas,17.9583,-102.2,84.94,59,21,13.33,MX,1717971180
141,hasaki,35.7333,140.8333,64.8,86,100,11.39,JP,1717971180
142,meadow lake,34.8014,-106.5436,90.84,28,100,10.85,US,1717971180
143,saldanha,-33.0117,17.9442,57.36,63,7,9.08,ZA,1717971180
144,mantua,45.1667,10.7833,74.01,94,100,3.78,IT,1717970997
145,klyuchi,52.2667,79.1667,62.49,88,100,5.77,RU,1717971180
146,lebu,-37.6167,-73.65,54.43,87,93,15.32,CL,1717971181
147,belmonte,-15.8631,-38.8828,74.98,81,92,11.21,BR,1717971181
148,picayune,30.5255,-89.6795,95.14,64,4,6.69,US,1717971058
149,broome,42.2506,-75.833,66.54,75,100,11.5,US,1717971181
150,tolanaro,-25.0319,46.9987,62.85,81,100,6.6,MG,1717971181
151,ironwood,46.4547,-90.171,52.61,76,100,8.05,US,1717971181
152,nova vicosa,-17.8919,-39.3719,74.82,75,100,6.96,BR,1717971182
153,la huaca,-4.9117,-80.96,74.12,54,63,14.41,PE,1717971182
154,baud,20.8333,84.3167,89.19,43,31,2.86,IN,1717971182
155,hithadhoo,-0.6,73.0833,82.56,75,98,4.54,MV,1717971182
156,bani walid,31.7566,13.9942,80.89,29,11,7.56,LY,1717970951
157,great falls,47.5002,-111.3008,72.05,41,0,9.22,US,1717971084
158,hadibu,12.65,54.0333,82.8,77,83,16.46,YE,1717971183
159,puerto baquerizo moreno,-0.9,-89.6,76.19,78,75,11.5,EC,1717971007
160,acarau,-2.8856,-40.12,77.61,88,79,8.79,BR,1717971183
161,cartagena,10.3997,-75.5144,83.82,74,40,3.44,CO,1717971183
162,arraial do cabo,-22.9661,-42.0278,75.06,73,0,16.11,BR,1717971005
163,bahia honda,22.9036,-83.1592,84.69,74,15,7.99,CU,1717971184
164,flying fish cove,-10.4217,105.6791,78.48,88,75,9.22,CX,1717971184
165,glendive,47.1053,-104.7125,80.22,27,75,17.27,US,1717971184
166,homer,59.6425,-151.5483,57.09,53,0,16.11,US,1717971184
167,barcelona,41.3888,2.159,73.98,75,20,4.61,ES,1717971185
168,jiayuguan,39.8167,98.3,67.82,16,100,7.67,CN,1717971185
169,zag,46.9441,99.165,50.18,66,85,4.56,MN,1717971185
170,papao,-17.75,-149.55,83.88,88,97,18.81,PF,1717971185
171,amuntai,-2.4177,115.2494,75.04,96,40,2.08,ID,1717971185
172,al mijlad,11.0333,27.7333,87.22,41,96,4.36,SD,1717971186
173,okhotsk,59.3833,143.3,43.57,84,30,6.49,RU,1717971186
174,chonchi,-42.6128,-73.8092,48.2,90,49,4.63,CL,1717971186
175,goure,13.9835,10.2704,88.27,12,49,5.12,NE,1717971186
176,parkes,-33.1333,148.1833,48.34,93,85,3.04,AU,1717971186
177,tutoia,-2.7619,-42.2744,78.94,87,100,6.24,BR,1717971187
178,saudarkrokur,65.7461,-19.6394,39.67,92,83,7.63,IS,1717971187
179,san luis,-33.295,-66.3356,58.51,37,54,16.22,AR,1717971032
180,flin flon,54.7682,-101.865,60.69,46,4,7.2,CA,1717971187
181,pandan,14.0453,124.1694,81.36,84,87,3.27,PH,1717971188
182,ventspils,57.3894,21.5606,55.33,76,75,17.27,LV,1717971188
183,greenwood,34.1668,-82.1165,88.16,60,0,11.5,US,1717971188
184,lorengau,-2.0226,147.2712,84.33,75,44,5.66,PG,1717971188
185,richards bay,-28.783,32.0377,58.42,73,0,6.46,ZA,1717971188
186,penhalonga,-18.8911,32.6978,45.48,90,2,3.69,ZW,1717971188
187,aoulef,26.9667,1.0833,99.12,13,31,12.08,DZ,1717971189
188,talnakh,69.4865,88.3972,38.21,97,100,3.67,RU,1717971189
189,bell ville,-32.6259,-62.6887,62.67,54,4,11.18,AR,1717971023
190,kenai,60.5544,-151.2583,64.02,49,75,16.11,US,1717971189
191,tazacorte,28.629,-17.9293,70.77,92,40,13.8,ES,1717971189
192,cambuga,13.6167,122.45,76.82,91,100,1.21,PH,1717971190
193,aripuana,-9.1667,-60.6333,81.07,47,53,1.01,BR,1717971190
194,enewetak,11.3474,162.3373,82.92,83,97,16.44,MH,1717971190
195,ilomantsi,62.6716,30.9328,51.69,96,100,8.28,FI,1717971190
196,nizhniye vyazovyye,55.7988,48.5248,57.65,86,53,2.04,RU,1717971190
197,lerwick,60.1545,-1.1494,48.2,79,98,22.68,GB,1717971190
198,corner brook,48.9667,-57.9484,56.93,86,94,2.28,CA,1717971191
199,kingston,17.997,-76.7936,86.16,75,100,6.91,JM,1717971072
200,myeik,12.4333,98.6,78.76,87,100,18.1,MM,1717971191
201,fale old settlement,-9.3852,-171.2468,82.99,77,82,10.13,TK,1717971191
202,hami,42.8,93.45,77.52,27,9,11.68,CN,1717971191
203,bredasdorp,-34.5322,20.0403,50.38,91,11,2.77,ZA,1717971191
204,three points,32.0767,-111.3137,102.61,5,0,14.97,US,1717971192
205,cambridge,43.3601,-80.3127,64.22,72,96,17.38,CA,1717971070
206,brak,27.5496,14.2714,83.84,12,0,5.14,LY,1717970951
207,yuma,32.7253,-114.6244,105.33,16,0,10.36,US,1717971192
208,bubaque,11.2833,-15.8333,80.1,79,39,14.67,GW,1717971192
209,margate,51.3813,1.3862,56.89,68,98,5.01,GB,1717971192
210,port augusta,-32.5,137.7667,55.51,54,100,7.58,AU,1717971193
